ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1434758400000,1256.817714,72.7122037106,2288.5250331641,1256.817714,1256.817714,-89.4122636809,-89.4122636809,-89.4122636809,39.2298893112,39.2298893112,39.2298893112,-128.6421529921,-128.6421529921,-128.6421529921,0.0,0.0,0.0,1167.4054503191
1434931200000,1257.0761288388,35.9406803119,2143.522258731,1257.0761288388,1257.0761288388,-162.341148616,-162.341148616,-162.341148616,-22.1725289415,-22.1725289415,-22.1725289415,-140.1686196745,-140.1686196745,-140.1686196745,0.0,0.0,0.0,1094.7349802228
1435017600000,1257.2053362582,45.5077962625,2211.7919935285,1257.2053362582,1257.2053362582,-142.3645781847,-142.3645781847,-142.3645781847,1.0675384957,1.0675384957,1.0675384957,-143.4321166805,-143.4321166805,-143.4321166805,0.0,0.0,0.0,1114.8407580735
1435104000000,1257.3345436776,-46.5901809164,2065.0153829131,1257.3345436776,1257.3345436776,-184.8740298051,-184.8740298051,-184.8740298051,-40.168678378,-40.168678378,-40.168678378,-144.7053514271,-144.7053514271,-144.7053514271,0.0,0.0,0.0,1072.4605138725
1435190400000,1257.463751097,29.0447694851,2122.3285434467,1257.463751097,1257.463751097,-170.3240278798,-170.3240278798,-170.3240278798,-26.52104102,-26.52104102,-26.52104102,-143.8029868598,-143.8029868598,-143.8029868598,0.0,0.0,0.0,1087.1397232172
1435276800000,1257.5929585164,143.545242638,2169.3328530822,1257.5929585164,1257.5929585164,-154.6454006754,-154.6454006754,-154.6454006754,-14.0540017807,-14.0540017807,-14.0540017807,-140.5913988947,-140.5913988947,-140.5913988947,0.0,0.0,0.0,1102.947557841
1435363200000,1257.7221659358,49.08677577,2218.848151879,1257.7221659358,1257.7221659358,-95.7620742728,-95.7620742728,-95.7620742728,39.2298893113,39.2298893113,39.2298893113,-134.9919635841,-134.9919635841,-134.9919635841,0.0,0.0,0.0,1161.960091663
1435449600000,1257.8513733552,104.6784620973,2283.6036347436,1257.8513733552,1257.8513733552,-64.3641659853,-64.3641659853,-64.3641659853,62.6188223132,62.6188223132,62.6188223132,-126.9829882985,-126.9829882985,-126.9829882985,0.0,0.0,0.0,1193.4872073699
1435536000000,1257.9805807746,36.4447101307,2216.2968129134,1257.9805807746,1257.9805807746,-138.7727775583,-138.7727775583,-138.7727775583,-22.1725289415,-22.1725289415,-22.1725289415,-116.6002486168,-116.6002486168,-116.6002486168,0.0,0.0,0.0,1119.2078032163
1435622400000,1258.109788194,59.8758056095,2212.2833582151,1258.109788194,1258.109788194,-102.8685893309,-102.8685893309,-102.8685893309,1.0675384957,1.0675384957,1.0675384957,-103.9361278266,-103.9361278266,-103.9361278266,0.0,0.0,0.0,1155.2411988631
