ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1460678400000,2221.5626893159,1625.5836188566,2590.0221780699,2221.5626893159,2221.5626893159,-132.0526193723,-132.0526193723,-132.0526193723,-33.52776294,-33.52776294,-33.52776294,-98.5248564323,-98.5248564323,-98.5248564323,0.0,0.0,0.0,2089.5100699436
1460764800000,2221.4509318664,1638.5733703743,2630.862384792,2221.4509318664,2221.4509318664,-89.9710399549,-89.9710399549,-89.9710399549,8.7868590873,8.7868590873,8.7868590873,-98.7578990422,-98.7578990422,-98.7578990422,0.0,0.0,0.0,2131.4798919115
1460937600000,2221.2274169675,1653.9066606103,2607.5244632972,2221.2274169675,2221.2274169675,-88.1692852192,-88.1692852192,-88.1692852192,5.3142584847,5.3142584847,5.3142584847,-93.4835437039,-93.4835437039,-93.4835437039,0.0,0.0,0.0,2133.0581317483
1461024000000,2221.115659518,1653.876246026,2613.0651634761,2221.115659518,2221.115659518,-86.33954868,-86.33954868,-86.33954868,1.9328015346,1.9328015346,1.9328015346,-88.2723502146,-88.2723502146,-88.2723502146,0.0,0.0,0.0,2134.776110838
1461110400000,2221.0039020686,1608.5823693267,2576.4220397566,2221.0039020686,2221.0039020686,-138.9777323471,-138.9777323471,-138.9777323471,-57.3561001991,-57.3561001991,-57.3561001991,-81.621632148,-81.621632148,-81.621632148,0.0,0.0,0.0,2082.0261697214
1461283200000,2220.7803871696,1651.831183008,2607.0925271499,2220.7803871696,2220.7803871696,-98.5917866809,-98.5917866809,-98.5917866809,-33.5277629399,-33.5277629399,-33.5277629399,-65.064023741,-65.064023741,-65.064023741,0.0,0.0,0.0,2122.1886004887
1461369600000,2220.6686297202,1725.4061956458,2640.247322251,2220.6686297202,2220.6686297202,-46.97185484,-46.97185484,-46.97185484,8.786859087,8.786859087,8.786859087,-55.758713927,-55.758713927,-55.758713927,0.0,0.0,0.0,2173.6967748801
1461542400000,2220.4451148212,1702.4636097532,2685.4726141119,2220.4451148212,2220.4451148212,-31.4030863677,-31.4030863677,-31.4030863677,5.3142584846,5.3142584846,5.3142584846,-36.7173448523,-36.7173448523,-36.7173448523,0.0,0.0,0.0,2189.0420284535
1461715200000,2220.2215999223,1661.1700172751,2627.7155913364,2220.2215999223,2220.2215999223,-76.6280135296,-76.6280135296,-76.6280135296,-57.3561001992,-57.3561001992,-57.3561001992,-19.2719133303,-19.2719133303,-19.2719133303,0.0,0.0,0.0,2143.5935863927
1461888000000,2219.9980850233,1720.0673823546,2686.9870456628,2219.9980850233,2219.9980850233,-39.3247632936,-39.3247632936,-39.3247632936,-33.5277629401,-33.5277629401,-33.5277629401,-5.7970003535,-5.7970003535,-5.7970003535,0.0,0.0,0.0,2180.6733217298
1461974400000,2219.8863275739,1725.7242223636,2659.906714367,2219.8863275739,2219.8863275739,7.6293070952,7.6293070952,7.6293070952,8.7868590872,8.7868590872,8.7868590872,-1.1575519919,-1.1575519919,-1.1575519919,0.0,0.0,0.0,2227.5156346691
1462147200000,2219.6628126749,1752.4285009959,2719.4104993586,2219.6628126749,2219.6628126749,8.4024087757,8.4024087757,8.4024087757,5.3142584847,5.3142584847,5.3142584847,3.088150291,3.088150291,3.088150291,0.0,0.0,0.0,2228.0652214507
1462406400000,2219.3275403265,1724.3764616654,2678.4007474076,2219.3275403265,2219.3275403265,-30.0469114802,-30.0469114802,-30.0469114802,-26.0028808901,-26.0028808901,-26.0028808901,-4.0440305902,-4.0440305902,-4.0440305902,0.0,0.0,0.0,2189.2806288463
1462492800000,2219.2157828771,1654.0152451769,2599.2240690703,2219.2157828771,2219.2157828771,-43.3970459681,-43.3970459681,-43.3970459681,-33.5277629398,-33.5277629398,-33.5277629398,-9.8692830283,-9.8692830283,-9.8692830283,0.0,0.0,0.0,2175.818736909
1462579200000,2219.1040254276,1725.0098970722,2723.247937121,2219.1040254276,2219.1040254276,-8.4061839169,-8.4061839169,-8.4061839169,8.7868590868,8.7868590868,8.7868590868,-17.1930430038,-17.1930430038,-17.1930430038,0.0,0.0,0.0,2210.6978415107
1462752000000,2218.8805105287,1689.1379570478,2659.475544431,2218.8805105287,2218.8805105287,-30.1358676992,-30.1358676992,-30.1358676992,5.3142584847,5.3142584847,5.3142584847,-35.4501261838,-35.4501261838,-35.4501261838,0.0,0.0,0.0,2188.7446428295
1462838400000,2218.7687530792,1692.6084565677,2659.7438676796,2218.7687530792,2218.7687530792,-43.9083349505,-43.9083349505,-43.9083349505,1.9328015347,1.9328015347,1.9328015347,-45.8411364852,-45.8411364852,-45.8411364852,0.0,0.0,0.0,2174.8604181287
1462924800000,2218.6569956297,1634.4418982815,2589.9579530262,2218.6569956297,2218.6569956297,-114.0178317457,-114.0178317457,-114.0178317457,-57.3561001993,-57.3561001993,-57.3561001993,-56.6617315464,-56.6617315464,-56.6617315464,0.0,0.0,0.0,2104.6391638841
1463097600000,2218.4334807308,1621.790486934,2600.0135182029,2218.4334807308,2218.4334807308,-111.7776536614,-111.7776536614,-111.7776536614,-33.52776294,-33.52776294,-33.52776294,-78.2498907214,-78.2498907214,-78.2498907214,0.0,0.0,0.0,2106.6558270694
1463184000000,2218.3217232813,1635.5676217063,2640.4696559522,2218.3217232813,2218.3217232813,-79.5502319989,-79.5502319989,-79.5502319989,8.7868590871,8.7868590871,8.7868590871,-88.337091086,-88.337091086,-88.337091086,0.0,0.0,0.0,2138.7714912824
