district,ptown,Punjab
Sargodha,Bhalwal,Punjab
Sargodha,Bhalwal,Punjab
Sargodha,Bhalwal,Punjab
Jhelum,Jhelum,Punjab
Multan,Jalalpur Pirwala,Punjab
Pakpattan,Pakpattan,Punjab
Pakpattan,Pakpattan,Punjab
Sargodha,Bhalwal,Punjab
Sargodha,Bhalwal,Punjab
Sargodha,Bhalwal,Punjab
Sargodha,Bhalwal,Punjab
Sargodha,Bhalwal,Punjab
